Commodity,Category,Country,Region,Market Year,Imports,Unit,Exports,Unit,Domestic Production,Unit,Domestic Consumption,Unit,Yield,Unit
Almonds,,Algeria,,2001,300,(MT),0,(MT),0,(MT),300,(MT)
Almonds,,Algeria,,2002,1200,(MT),0,(MT),0,(MT),1200,(MT)
Almonds,,Algeria,,2003,1600,(MT),0,(MT),0,(MT),1600,(MT)
Almonds,,Algeria,,2004,800,(MT),0,(MT),0,(MT),800,(MT)
Almonds,,Algeria,,2005,1600,(MT),0,(MT),0,(MT),1600,(MT)
Almonds,,Algeria,,2006,2200,(MT),0,(MT),0,(MT),2200,(MT)
Almonds,,Algeria,,2007,2800,(MT),0,(MT),0,(MT),2800,(MT)
Almonds,,Algeria,,2008,7600,(MT),0,(MT),0,(MT),7600,(MT)
Almonds,,Algeria,,2009,3800,(MT),0,(MT),0,(MT),3800,(MT)
Almonds,,Algeria,,2010,6600,(MT),0,(MT),0,(MT),6600,(MT)
Almonds,,Algeria,,2011,7500,(MT),0,(MT),0,(MT),7500,(MT)
Almonds,,Algeria,,2012,6700,(MT),0,(MT),0,(MT),6700,(MT)
Almonds,,Algeria,,2013,4300,(MT),0,(MT),0,(MT),4300,(MT)
Almonds,,Algeria,,2014,2700,(MT),0,(MT),0,(MT),2700,(MT)
Almonds,,Algeria,,2015,2500,(MT),0,(MT),0,(MT),2500,(MT)
Almonds,,Australia,,2001,1000,(MT),2500,(MT),9500,(MT),8000,(MT)
Almonds,,Australia,,2002,2700,(MT),1700,(MT),10200,(MT),11200,(MT)
Almonds,,Australia,,2003,1900,(MT),2600,(MT),11700,(MT),11000,(MT)
Almonds,,Australia,,2004,2000,(MT),5300,(MT),16400,(MT),13100,(MT)
Almonds,,Australia,,2005,2200,(MT),6200,(MT),16000,(MT),12000,(MT)
Almonds,,Australia,,2006,2100,(MT),11300,(MT),26900,(MT),17200,(MT)
Almonds,,Australia,,2007,1200,(MT),14100,(MT),26000,(MT),13100,(MT)
Almonds,,Australia,,2008,1000,(MT),23000,(MT),36400,(MT),14400,(MT)
Almonds,,Australia,,2009,1500,(MT),19900,(MT),39100,(MT),20200,(MT)
Almonds,,Australia,,2010,2000,(MT),23300,(MT),37600,(MT),16300,(MT)
Almonds,,Australia,,2011,2800,(MT),29000,(MT),49600,(MT),23400,(MT)
Almonds,,Australia,,2012,3300,(MT),44300,(MT),73400,(MT),24700,(MT)
Almonds,,Australia,,2013,4200,(MT),49600,(MT),65100,(MT),20800,(MT)
Almonds,,Australia,,2014,3600,(MT),61000,(MT),75000,(MT),21000,(MT)
Almonds,,Australia,,2015,4000,(MT),62000,(MT),82000,(MT),23000,(MT)
Almonds,,Canada,,2001,11300,(MT),0,(MT),0,(MT),11300,(MT)
Almonds,,Canada,,2002,15600,(MT),0,(MT),0,(MT),15600,(MT)
Almonds,,Canada,,2003,17500,(MT),0,(MT),0,(MT),17500,(MT)
Almonds,,Canada,,2004,22200,(MT),0,(MT),0,(MT),22200,(MT)
Almonds,,Canada,,2005,17600,(MT),0,(MT),0,(MT),17600,(MT)
Almonds,,Canada,,2006,20500,(MT),0,(MT),0,(MT),20500,(MT)
Almonds,,Canada,,2007,24000,(MT),0,(MT),0,(MT),24000,(MT)
Almonds,,Canada,,2008,23300,(MT),0,(MT),0,(MT),23300,(MT)
Almonds,,Canada,,2009,23000,(MT),0,(MT),0,(MT),23000,(MT)
Almonds,,Canada,,2010,27600,(MT),0,(MT),0,(MT),27600,(MT)
Almonds,,Canada,,2011,28400,(MT),0,(MT),0,(MT),28400,(MT)
Almonds,,Canada,,2012,31200,(MT),0,(MT),0,(MT),31200,(MT)
Almonds,,Canada,,2013,33700,(MT),0,(MT),0,(MT),33700,(MT)
Almonds,,Canada,,2014,35000,(MT),0,(MT),0,(MT),35000,(MT)
Almonds,,Canada,,2015,36000,(MT),0,(MT),0,(MT),36000,(MT)
Almonds,,Chile,,2001,1000,(MT),2900,(MT),4000,(MT),1900,(MT)
Almonds,,Chile,,2002,700,(MT),2900,(MT),6000,(MT),3800,(MT)
Almonds,,Chile,,2003,1400,(MT),3500,(MT),4500,(MT),2300,(MT)
Almonds,,Chile,,2004,1000,(MT),6000,(MT),7500,(MT),2300,(MT)
Almonds,,Chile,,2005,1400,(MT),3900,(MT),4200,(MT),2100,(MT)
Almonds,,Chile,,2006,2000,(MT),5100,(MT),6900,(MT),2700,(MT)
Almonds,,Chile,,2007,1800,(MT),6000,(MT),8800,(MT),2700,(MT)
Almonds,,Chile,,2008,1600,(MT),8100,(MT),8000,(MT),3200,(MT)
Almonds,,Chile,,2009,3600,(MT),6500,(MT),6000,(MT),3700,(MT)
Almonds,,Chile,,2010,2400,(MT),9100,(MT),9000,(MT),2700,(MT)
Almonds,,Chile,,2011,3000,(MT),8300,(MT),9100,(MT),3400,(MT)
Almonds,,Chile,,2012,3800,(MT),7300,(MT),8300,(MT),5100,(MT)
Almonds,,Chile,,2013,4400,(MT),4000,(MT),3900,(MT),4300,(MT)
Almonds,,Chile,,2014,3600,(MT),10600,(MT),11000,(MT),4000,(MT)
Almonds,,Chile,,2015,4000,(MT),11000,(MT),12000,(MT),5000,(MT)
Almonds,,China,,2001,14100,(MT),0,(MT),0,(MT),14100,(MT)
Almonds,,China,,2002,7200,(MT),0,(MT),0,(MT),7200,(MT)
Almonds,,China,,2003,2100,(MT),0,(MT),0,(MT),2100,(MT)
